,id,title,original_title
763,424,Schindler's List,Schindler's List
764,389,12 Angry Men,12 Angry Men
765,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
766,129,Spirited Away,千と千尋の神隠し
767,155,The Dark Knight,The Dark Knight
768,496243,Parasite,기생충
769,497,The Green Mile,The Green Mile
770,372058,Your Name.,君の名は。
771,680,Pulp Fiction,Pulp Fiction
772,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
773,13,Forrest Gump,Forrest Gump
774,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
775,769,GoodFellas,GoodFellas
776,346,Seven Samurai,七人の侍
777,12477,Grave of the Fireflies,火垂るの墓
778,637,Life Is Beautiful,La vita è bella
779,11216,Cinema Paradiso,Nuovo Cinema Paradiso
780,278,The Shawshank Redemption,The Shawshank Redemption
781,238,The Godfather,The Godfather
782,240,The Godfather Part II,The Godfather Part II
783,424,Schindler's List,Schindler's List
784,389,12 Angry Men,12 Angry Men
785,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
786,129,Spirited Away,千と千尋の神隠し
787,155,The Dark Knight,The Dark Knight
788,496243,Parasite,기생충
789,497,The Green Mile,The Green Mile
790,372058,Your Name.,君の名は。
791,680,Pulp Fiction,Pulp Fiction
792,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
793,13,Forrest Gump,Forrest Gump
794,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
795,769,GoodFellas,GoodFellas
796,346,Seven Samurai,七人の侍
797,12477,Grave of the Fireflies,火垂るの墓
798,637,Life Is Beautiful,La vita è bella
799,11216,Cinema Paradiso,Nuovo Cinema Paradiso
800,278,The Shawshank Redemption,The Shawshank Redemption
801,238,The Godfather,The Godfather
802,240,The Godfather Part II,The Godfather Part II
803,424,Schindler's List,Schindler's List
804,389,12 Angry Men,12 Angry Men
805,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
806,129,Spirited Away,千と千尋の神隠し
807,155,The Dark Knight,The Dark Knight
808,496243,Parasite,기생충
809,497,The Green Mile,The Green Mile
810,372058,Your Name.,君の名は。
811,680,Pulp Fiction,Pulp Fiction
812,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
813,13,Forrest Gump,Forrest Gump
814,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
815,769,GoodFellas,GoodFellas
816,346,Seven Samurai,七人の侍
817,12477,Grave of the Fireflies,火垂るの墓
818,637,Life Is Beautiful,La vita è bella
819,11216,Cinema Paradiso,Nuovo Cinema Paradiso
820,278,The Shawshank Redemption,The Shawshank Redemption
821,238,The Godfather,The Godfather
822,240,The Godfather Part II,The Godfather Part II
823,424,Schindler's List,Schindler's List
824,389,12 Angry Men,12 Angry Men
825,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
826,129,Spirited Away,千と千尋の神隠し
827,155,The Dark Knight,The Dark Knight
828,496243,Parasite,기생충
829,497,The Green Mile,The Green Mile
830,372058,Your Name.,君の名は。
831,680,Pulp Fiction,Pulp Fiction
832,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
833,13,Forrest Gump,Forrest Gump
834,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
835,769,GoodFellas,GoodFellas
836,346,Seven Samurai,七人の侍
837,12477,Grave of the Fireflies,火垂るの墓
838,637,Life Is Beautiful,La vita è bella
839,11216,Cinema Paradiso,Nuovo Cinema Paradiso
840,278,The Shawshank Redemption,The Shawshank Redemption
841,238,The Godfather,The Godfather
842,240,The Godfather Part II,The Godfather Part II
843,424,Schindler's List,Schindler's List
844,389,12 Angry Men,12 Angry Men
845,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
846,129,Spirited Away,千と千尋の神隠し
847,155,The Dark Knight,The Dark Knight
848,496243,Parasite,기생충
849,497,The Green Mile,The Green Mile
850,372058,Your Name.,君の名は。
851,680,Pulp Fiction,Pulp Fiction
852,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
853,13,Forrest Gump,Forrest Gump
854,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
855,769,GoodFellas,GoodFellas
856,346,Seven Samurai,七人の侍
857,12477,Grave of the Fireflies,火垂るの墓
858,637,Life Is Beautiful,La vita è bella
859,11216,Cinema Paradiso,Nuovo Cinema Paradiso
860,278,The Shawshank Redemption,The Shawshank Redemption
861,238,The Godfather,The Godfather
862,240,The Godfather Part II,The Godfather Part II
863,424,Schindler's List,Schindler's List
864,389,12 Angry Men,12 Angry Men
865,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
866,129,Spirited Away,千と千尋の神隠し
867,155,The Dark Knight,The Dark Knight
868,496243,Parasite,기생충
869,497,The Green Mile,The Green Mile
870,372058,Your Name.,君の名は。
871,680,Pulp Fiction,Pulp Fiction
872,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
873,13,Forrest Gump,Forrest Gump
874,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
875,769,GoodFellas,GoodFellas
876,346,Seven Samurai,七人の侍
877,12477,Grave of the Fireflies,火垂るの墓
878,637,Life Is Beautiful,La vita è bella
879,11216,Cinema Paradiso,Nuovo Cinema Paradiso
880,278,The Shawshank Redemption,The Shawshank Redemption
881,238,The Godfather,The Godfather
882,240,The Godfather Part II,The Godfather Part II
883,424,Schindler's List,Schindler's List
884,389,12 Angry Men,12 Angry Men
885,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
886,129,Spirited Away,千と千尋の神隠し
887,155,The Dark Knight,The Dark Knight
888,496243,Parasite,기생충
889,497,The Green Mile,The Green Mile
890,372058,Your Name.,君の名は。
891,680,Pulp Fiction,Pulp Fiction
892,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
893,13,Forrest Gump,Forrest Gump
894,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
895,769,GoodFellas,GoodFellas
896,346,Seven Samurai,七人の侍
897,12477,Grave of the Fireflies,火垂るの墓
898,637,Life Is Beautiful,La vita è bella
899,11216,Cinema Paradiso,Nuovo Cinema Paradiso
900,278,The Shawshank Redemption,The Shawshank Redemption
901,238,The Godfather,The Godfather
902,240,The Godfather Part II,The Godfather Part II
903,424,Schindler's List,Schindler's List
904,389,12 Angry Men,12 Angry Men
905,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
906,129,Spirited Away,千と千尋の神隠し
907,155,The Dark Knight,The Dark Knight
908,496243,Parasite,기생충
909,497,The Green Mile,The Green Mile
910,372058,Your Name.,君の名は。
911,680,Pulp Fiction,Pulp Fiction
912,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
913,13,Forrest Gump,Forrest Gump
914,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
915,769,GoodFellas,GoodFellas
916,346,Seven Samurai,七人の侍
917,12477,Grave of the Fireflies,火垂るの墓
918,637,Life Is Beautiful,La vita è bella
919,11216,Cinema Paradiso,Nuovo Cinema Paradiso
920,278,The Shawshank Redemption,The Shawshank Redemption
921,238,The Godfather,The Godfather
922,240,The Godfather Part II,The Godfather Part II
923,424,Schindler's List,Schindler's List
924,389,12 Angry Men,12 Angry Men
925,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
926,129,Spirited Away,千と千尋の神隠し
927,155,The Dark Knight,The Dark Knight
928,496243,Parasite,기생충
929,497,The Green Mile,The Green Mile
930,372058,Your Name.,君の名は。
931,680,Pulp Fiction,Pulp Fiction
932,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
933,13,Forrest Gump,Forrest Gump
934,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
935,769,GoodFellas,GoodFellas
936,346,Seven Samurai,七人の侍
937,12477,Grave of the Fireflies,火垂るの墓
938,637,Life Is Beautiful,La vita è bella
939,11216,Cinema Paradiso,Nuovo Cinema Paradiso
940,278,The Shawshank Redemption,The Shawshank Redemption
941,238,The Godfather,The Godfather
942,240,The Godfather Part II,The Godfather Part II
943,424,Schindler's List,Schindler's List
944,389,12 Angry Men,12 Angry Men
